customs, omschrijving, supported
IMAH, IMAH, Yes
IMAI, IMAI, Yes
IMAJ, IMAJ, Yes
IMBH, IMBH, Yes
IMBI, IMBI, Yes
IMBJ, IMBJ, Yes
IMCH, IMCH, Yes
IMCI, IMCI, Yes
IMCJ, IMCJ, Yes
IMDH, IMDH, Yes
IMDI, IMDI, Yes
IMDJ, IMDJ, Yes
IMEH, IMEH, Yes
IMEI, IMEI, Yes
IMEJ, IMEJ, Yes
IMFH, IMFH, Yes
IMFI, IMFI, Yes
IMFJ, IMFJ, Yes
IMZH, IMZH, Yes
IMZI, IMZI, Yes
IMZJ, IMZJ, Yes
EUAH, EUAH, Yes
EUAI, EUAI, Yes
EUAJ, EUAJ, Yes
EUBH, EUBH, Yes
EUBI, EUBI, Yes
EUBJ, EUBJ, Yes
EUCH, EUCH, Yes
EUCI, EUCI, Yes
EUCJ, EUCJ, Yes
EUDH, EUDH, Yes
EUDI, EUDI, Yes
EUDJ, EUDJ, Yes
EUEH, EUEH, Yes
EUEI, EUEI, Yes
EUEJ, EUEJ, Yes
EUFH, EUFH, Yes
EUFI, EUFI, Yes
EUFJ, EUFJ, Yes
EUZH, EUZH, Yes
EUZI, EUZI, Yes
EUZJ, EUZJ, Yes
COAH, COAH, Yes
COAI, COAI, Yes
COAJ, COAJ, Yes
COBH, COBH, Yes
COBI, COBI, Yes
COBJ, COBJ, Yes
COCH, COCH, Yes
COCI, COCI, Yes
COCJ, COCJ, Yes
CODH, CODH, Yes
CODI, CODI, Yes
CODJ, CODJ, Yes
COEH, COEH, Yes
COEI, COEI, Yes
COEJ, COEJ, Yes
COFH, COFH, Yes
COFI, COFI, Yes
COFJ, COFJ, Yes
COZH, COZH, Yes
COZI, COZI, Yes
COZJ, COZJ, Yes